mSupply Row ID,Item code,Item name,PQSVaccineID,VaccineType,VaccineTypeName,Manufacturer,CommercialName,PharmaceuticalForm,Presentation,DosesCount,ShelfLife,VaccinePreservative,AdministrationRoute,VaccineStorageTemperature,PrequalificationStatus,VaccineVialMonitor,MultidoseVialPolicy,VaccinePrimaryVolume,VaccineSecondaryVolume,VaccineTertiaryVolume,DiluentBundled,DiluentPrimaryVolume,DiluentSecondaryVolume,DiluentTertiaryVolume,FreezeSensitive,DiluentStorageTemperature,AlAdjuvant,Nbre doses dans calendrier,Prix du flacon ($/flacon),UNICEF PS
12,☆ bOPV-V-20-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 20 doses - [S4],184,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,GlaxoSmithKline Biologicals SA,Polio Sabin One and Three,Liquid: ready to use,Vial,20,24,none,Oral,-20°C,Current,2,28,0.009600,0.009600,0.039800,0,0.000000,0.000000,0.000000,,NA,,4,$3.05,0.153
14,☆ bOPV-V-20-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 20 doses - [S4],200,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,Haffkine Bio Pharmaceutical Corporation Ltd,"Bivalent type 1&3 Oral Poliomyelitis vaccine, IP (bOPV1&3)",Liquid: ready to use,Vial,20,24,none,Oral,-20°C,Current,2,28,0.020000,0.020000,0.020000,0,0.000000,0.000000,0.000000,,NA,,4,$3.05,0.153
10,☆ bOPV-V-10-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 10 doses - [S4],297,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,PT Bio Farma (Persero),Bivalent Oral Poliomyelitis Vaccine Type 1&3 (bOPV 1&3),Liquid: ready to use,Vial,10,24,none,Oral,-20°C,Current,2,28,0.014000,0.014000,0.062200,0,0.000000,0.000000,0.000000,No,NA,No,4,$3.08,0.308
13,☆ bOPV-V-20-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 20 doses - [S4],195,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,PT Bio Farma (Persero),Bivalent Oral Poliomyelitis Vaccine Type 1&3 (bOPV 1&3),Liquid: ready to use,Vial,20,24,none,Oral,-20°C,Current,2,28,0.011000,0.011000,0.082800,0,0.000000,0.000000,0.000000,,NA,,4,$3.05,0.153
16,☆ bOPV-V-20-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 20 doses - [S4],246,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,Sanofi Pasteur SA,none,Liquid: ready to use,Vial,20,24,none,Oral,-20°C,Current,2,28,0.009800,0.009800,0.048400,0,0.000000,0.000000,0.000000,,NA,,4,$3.05,0.153
9,☆ bOPV-V-10-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 10 doses - [S4],281,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,Serum Institute of India Pvt. Ltd.,"Poliomyelitis Vaccine (Oral), Bivalent types 1 and 3",Liquid: ready to use,Vial,10,24,none,Oral,-20°C,Current,2,28,0.017600,0.017600,0.115200,0,0.000000,0.000000,0.000000,,NA,,4,$3.08,0.308
17,☆ bOPV-V-20-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 20 doses - [S4],253,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,Serum Institute of India Pvt. Ltd.,"Poliomyelitis Vaccine (Oral), Bivalent types 1 and 3",Liquid: ready to use,Vial,20,24,none,Oral,-20°C,Current,2,28,0.017600,0.017600,0.115200,0,0.000000,0.000000,0.000000,,NA,,4,$3.05,0.153
24,☆ C19-CS-V-1-S2,Covid-19 Covovax SARS-CoV-2 rS - vial - 1 dose - [S2],,Covid-19 vaccine,C-19 Covovax SARS-CoV-2 rS,Serum Institute of India Pvt. Ltd (s/c AZ),COVOVAX,Liquid: ready to use,vial,1,9,none,Intramuscular,2-8°C,EUL,none,NA,0.015800,0.015800,0.015800,0,0.000000,0.000000,0.000000,,NA,,2,$3.50,3.5
25,☆ C19-CS-V-10-S2,Covid-19 Covovax SARS-CoV-2 rS - vial - 10 doses - [S2],,Covid-19 vaccine,C-19 Covovax SARS-CoV-2 rS,Serum Institute of India Pvt. Ltd (s/c AZ),COVOVAX,Liquid: ready to use,vial,10,9,none,Intramuscular,2-8°C,EUL,none,0,0.021000,0.021000,0.228900,0,0.000000,0.000000,0.000000,,NA,,2,$30.00,3
29,☆ C19-NS-V-10-S2,Covid-19 Nuvaxovid SARS-CoV-2 rS - vial - 10 doses - [S2],,Covid-19 vaccine,C-19 Nuvaxovid SARS-CoV-2 rS,Novavax CZ a.s.,NUVAXOVID,Liquid: ready to use,vial,10,9,none,Intramuscular,2-8°C,EUL,none,0,0.020500,0.020500,0.027000,0,0.000000,0.000000,0.000000,,NA,,2,$200.00,20
18,☆ C19-BC-V-1-S2,Covid-19 Bharat COVAXIN - vial - 1 dose - [S2],,Covid-19 vaccine,C19-Bharat COVAXIN,Bharat Biotech International Limited,"BBV152, COVAXIN®",Liquid: ready to use,vial,1,9,none,Intramuscular,2-8°C,EUL,none,NA,0.014450,0.014450,0.018310,0,0.000000,0.000000,0.000000,,NA,,2,$15.00,15
21,☆ C19-BC-V-5-S2,Covid-19 Bharat COVAXIN - vial - 5 doses - [S2],,Covid-19 vaccine,C19-Bharat COVAXIN,Bharat Biotech International Limited,"BBV152, COVAXIN®",Liquid: ready to use,vial,5,9,none,Intramuscular,2-8°C,EUL,none,28,0.014450,0.014450,0.018300,0,0.000000,0.000000,0.000000,,NA,,2,$30.00,6
19,☆ C19-BC-V-10-S2,Covid-19 Bharat COVAXIN - vial - 10 doses - [S2],,Covid-19 vaccine,C19-Bharat COVAXIN,Bharat Biotech International Limited,"BBV152, COVAXIN®",Liquid: ready to use,vial,10,9,none,Intramuscular,2-8°C,EUL,none,28,0.026900,0.026900,0.035000,0,0.000000,0.000000,0.000000,,NA,,2,$30.00,3
20,☆ C19-BC-V-20-S2,Covid-19 Bharat COVAXIN - vial - 20 doses - [S2],,Covid-19 vaccine,C19-Bharat COVAXIN,Bharat Biotech International Limited,"BBV152, COVAXIN®",Liquid: ready to use,vial,20,9,none,Intramuscular,2-8°C,EUL,none,28,0.034400,0.034400,0.040600,0,0.000000,0.000000,0.000000,,NA,,2,$60.00,3
23,☆ C19-CC-V-2-S2,Covid-19 Covishield ChAdOx1-S - vial - 2 doses - [S2],,Covid-19 vaccine,C19-Covishield ChAdOx1-S,Serum Institute of India Pvt. Ltd (s/c AZ),COVISHIELD,Liquid: ready to use,vial,2,9,none,Intramuscular,2-8°C,EUL,none,0,0.014060,0.014060,0.018260,0,0.000000,0.000000,0.000000,Yes,NA,,2,$10.00,5
22,☆ C19-CC-V-10-S2,Covid-19 Covishield ChAdOx1-S - vial - 10 doses - [S2],,Covid-19 vaccine,C19-Covishield ChAdOx1-S,Serum Institute of India Pvt. Ltd (s/c AZ),COVISHIELD,Liquid: ready to use,vial,10,9,none,Intramuscular,2-8°C,EUL,none,0,0.021000,0.021000,0.026100,0,0.000000,0.000000,0.000000,Yes,NA,,2,$30.00,3
26,☆ C19-JA-V-5-S1,Covid-19 Janssen Ad26.COV2.S - vial - 5 doses - [S1],,Covid-19 vaccine,C19-Janssen Ad26.COV2.S,Janssen - Cilag,Ad26.COV2.S,Liquid: ready to use,vial,5,24,none,Intramuscular,-20°C,EUL,none,0,0.019100,0.019100,0.026600,0,0.000000,0.000000,0.000000,,NA,Yes,1,$50.00,10
27,☆ C19-MM-V-10-S2,Covid-19 Moderna mRNA-1273 - vial - 10 doses - [S2],,Covid-19 vaccine,C19-Moderna mRNA-1273,Moderna,mRNA-1273,Liquid: ready to use,vial,10,7,none,Intramuscular,-20°C,EUL,none,0,0.043000,0.043000,0.058300,0,0.000000,0.000000,0.000000,,NA,,2,$35.00,3.5
28,☆ C19-MM-V-14-S2,Covid-19 Moderna mRNA-1273 - vial - 14 doses - [S2],,Covid-19 vaccine,C19-Moderna mRNA-1273,Moderna,mRNA-1273,Liquid: ready to use,vial,14,7,none,Intramuscular,-20°C,EUL,none,0,0.029400,0.029400,0.042000,0,0.000000,0.000000,0.000000,,NA,,2,$300.00,21.429
30,☆ C19-PP-P-V-6-S2,Covid-19 Pfizer PBS/Sucrose (purple cap) - vial - 6 doses - [S2],,Covid-19 vaccine,C19-Pfizer PBS/Sucrose (purple cap),Pfizer/BioNTech,Comirnaty,"Frozen liquid, to be diluted after thawing",vial,6,9,none,Intramuscular,-70°C,EUL,none,0,0.010800,0.010800,0.017820,No,0.027780,0.027780,0.078000,,25°C,Yes,2,$50.00,8.333
31,☆ C19-PT-G-V-6-S2,Covid-19 Pfizer Tris/Sucrose (grey cap) - vial - 6 doses - [S2],,Covid-19 vaccine,C19-Pfizer Tris/Sucrose (grey cap),Pfizer/BioNTech,Comirnaty,Liquid: ready to use,vial,6,9,none,Intramuscular,-70°C,EUL,none,0,0.011400,0.011400,0.091920,0,0.000000,0.000000,0.000000,,NA,,2,$50.00,8.333
32,☆ C19-PT-O-V-6-S2,Covid-19 Pfizer Tris/Sucrose (orange cap) - vial - 6 doses - [S2],,Covid-19 vaccine,C19-Pfizer Tris/Sucrose (orange cap),Pfizer/BioNTech,Comirnaty,"Frozen liquid, to be diluted after thawing",vial,6,9,none,Intramuscular,-70°C,EUL,none,0,0.015600,0.015600,0.149340,No,0.027780,0.027780,0.078000,,25°C,,2,$50.00,8.333
36,☆ C19-SV-PS-1-S2,Covid-19 Sinopharm VeroCell - prefilled syringe - 1 dose - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,prefilled syringe,1,24,none,Intramuscular,2-8°C,EUL,7,NA,0.094900,0.094900,0.115900,0,0.000000,0.000000,0.000000,Yes,NA,,2,$20.00,20
37,☆ C19-SV-PS-1-S2,Covid-19 Sinopharm VeroCell - prefilled syringe - 1 dose - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,prefilled syringe,1,24,none,Intramuscular,2-8°C,EUL,7,NA,0.124900,0.124900,0.154000,0,0.000000,0.000000,0.000000,Yes,NA,,2,$20.00,20
38,☆ C19-SV-PS-2-S2,Covid-19 Sinopharm VeroCell - prefilled syringe - 2 doses - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,prefilled syringe,2,24,none,Intramuscular,2-8°C,EUL,7,0,0.022800,0.022800,0.028060,0,0.000000,0.000000,0.000000,Yes,NA,Yes,2,$30.00,15
40,☆ C19-SV-PS-5-S2,Covid-19 Sinopharm VeroCell - prefilled syringe - 5 doses - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,prefilled syringe,5,24,none,Intramuscular,2-8°C,EUL,7,0,0.021000,0.021000,0.028900,0,0.000000,0.000000,0.000000,Yes,NA,,2,$50.00,10
41,☆ C19-SV-PS-5-S2,Covid-19 Sinopharm VeroCell - prefilled syringe - 5 doses - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,prefilled syringe,5,24,none,Intramuscular,2-8°C,EUL,7,0,0.022500,0.022500,0.034100,0,0.000000,0.000000,0.000000,Yes,NA,,2,$50.00,10
39,☆ C19-SV-PS-5-S2,Covid-19 Sinopharm VeroCell - prefilled syringe - 5 doses - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,prefilled syringe,5,24,none,Intramuscular,2-8°C,EUL,7,0,0.061500,0.061500,0.078300,0,0.000000,0.000000,0.000000,Yes,NA,Yes,2,$50.00,10
43,☆ C19-SV-V-1-S2,Covid-19 Sinopharm VeroCell - vial - 1 dose - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,vial,1,24,none,Intramuscular,2-8°C,EUL,7,NA,0.021200,0.021200,0.028900,0,0.000000,0.000000,0.000000,Yes,NA,Yes,2,$20.00,20
42,☆ C19-SV-V-1-S2,Covid-19 Sinopharm VeroCell - vial - 1 dose - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,vial,1,24,none,Intramuscular,2-8°C,EUL,7,NA,0.061800,0.061800,0.078300,0,0.000000,0.000000,0.000000,Yes,NA,Yes,2,$20.00,20
45,☆ C19-SV-V-2-S2,Covid-19 Sinopharm VeroCell - vial - 2 doses - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,vial,2,24,none,Intramuscular,2-8°C,EUL,7,0,0.021000,0.021000,0.028900,0,0.000000,0.000000,0.000000,Yes,NA,Yes,2,$30.00,15
44,☆ C19-SV-V-2-S2,Covid-19 Sinopharm VeroCell - vial - 2 doses - [S2],,Covid-19 vaccine,C19-Sinopharm VeroCell,"Beijing Institute of Biological Products Co., Ltd",Sinopharm,Liquid: ready to use,vial,2,24,none,Intramuscular,2-8°C,EUL,7,0,0.061600,0.061600,0.078320,0,0.000000,0.000000,0.000000,Yes,NA,Yes,2,$30.00,15
33,☆ C19-SC-PS-1-S2,Covid-19 Sinovac Coronovac - prefilled syringe - 1 dose - [S2],,Covid-19 vaccine,C19-Sinovac Coronovac,"Sinovac Life Sciences Co., Ltd.",CoronaVac,Liquid: ready to use,prefilled syringe,1,12,none,Intramuscular,2-8°C,EUL,none,NA,0.041650,0.041650,0.049820,0,0.000000,0.000000,0.000000,,NA,,2,$15.00,15
34,☆ C19-SC-V-1-S2,Covid-19 Sinovac Coronovac - vial - 1 dose - [S2],,Covid-19 vaccine,C19-Sinovac Coronovac,"Sinovac Life Sciences Co., Ltd.",CoronaVac,Liquid: ready to use,vial,1,12,none,Intramuscular,2-8°C,EUL,none,NA,0.016300,0.016300,0.020240,0,0.000000,0.000000,0.000000,,NA,,2,$15.00,15
35,☆ C19-SC-V-2-S2,Covid-19 Sinovac Coronovac - vial - 2 doses - [S2],,Covid-19 vaccine,C19-Sinovac Coronovac,"Sinovac Life Sciences Co., Ltd.",CoronaVac,Liquid: ready to use,vial,2,12,none,Intramuscular,2-8°C,EUL,none,0,0.016300,0.016300,0.020240,0,0.000000,0.000000,0.000000,,NA,,2,$30.00,15
46,☆ C19-S-V-1-S2,Covid-19 Sputnik - vial - 1 dose - [S2],,Covid-19 vaccine,C19-Sputnik,Gamalia Institute,Sputnik V,Liquid: ready to use,vial,1,12,none,Intramuscular,-20°C,EUL,none,NA,0.027500,0.027500,0.031100,0,0.000000,0.000000,0.000000,,NA,,2,$10.00,10
50,☆ C19-VC-V-8-S2,Covid-19 VaxZevria ChAdOx1-S - vial - 8 doses - [S2],,Covid-19 vaccine,C19-VaxZevria ChAdOx1-S,AstraZeneca AB,Vaxzevria,Liquid: ready to use,vial,8,6,none,Intramuscular,2-8°C,EUL,none,0,0.027600,0.027600,0.052880,0,0.000000,0.000000,0.000000,Yes,NA,,2,$35.00,4.375
48,☆ C19-VC-V-10-S2,Covid-19 VaxZevria ChAdOx1-S - vial - 10 doses - [S2],,Covid-19 vaccine,C19-VaxZevria ChAdOx1-S,AstraZeneca AB,Vaxzevria,Liquid: ready to use,vial,10,6,none,Intramuscular,2-8°C,EUL,none,0,0.027600,0.027600,0.052900,0,0.000000,0.000000,0.000000,Yes,NA,,2,$35.00,3.5
49,☆ C19-VC-V-8-S2,Covid-19 VaxZevria ChAdOx1-S - vial - 8 doses - [S2],,Covid-19 vaccine,C19-VaxZevria ChAdOx1-S,AstraZeneca AB /SK Bioscience Co. Ltd,Vaxzevria,Liquid: ready to use,vial,8,6,none,Intramuscular,2-8°C,EUL,none,0,0.035200,0.035200,0.046800,0,0.000000,0.000000,0.000000,Yes,NA,,2,$30.00,3.75
47,☆ C19-VC-V-10-S2,Covid-19 VaxZevria ChAdOx1-S - vial - 10 doses - [S2],,Covid-19 vaccine,C19-VaxZevria ChAdOx1-S,AstraZeneca AB /SK Bioscience Co. Ltd,Vaxzevria,Liquid: ready to use,vial,10,6,none,Intramuscular,2-8°C,EUL,none,0,0.037600,0.037600,0.053500,0,0.000000,0.000000,0.000000,Yes,NA,,2,$35.00,3.5
51,☆ COV-A-V-10-S2,Covid-A - vial - 10 doses - [S2],,Covid-19 vaccine,COVID-A,Generic,COVID-A,Liquid: ready to use,vial,10,12,none,Intramuscular,2-8°C,EUL,none,0,0.046300,0.046300,0.130000,0,0.000000,0.000000,0.000000,,NA,,2,,0
52,☆ COV-B-V-10-S2,Covid-B - vial - 10 doses - [S2],,Covid-19 vaccine,COVID-B,Generic,COVID-B,Lyophilised active component to be reconstituted with excipient diluent before use,vial,10,12,none,Intramuscular,2-8°C,EUL,none,0,0.046300,0.046300,0.130000,No,0.046300,0.046300,0.130000,,25°C,Yes,2,,0
53,☆ COV-C-V-1-S2,Covid-C - vial - 1 dose - [S2],,Covid-19 vaccine,COVID-C,Generic,COVID-C,Liquid: ready to use,vial,1,12,none,Intramuscular,2-8°C,EUL,none,NA,0.017000,0.017000,0.023000,0,0.000000,0.000000,0.000000,,NA,Yes,2,,0
54,☆ DEN-2VSAE-5-S1,"Dengue (live, attenuated) - two vial set (active + excipient) - 5 doses - [S1]",357,"Dengue Tetravalent (live, attenuated)",Dengue,Sanofi Pasteur SA,Dengvaxia,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),5,36,none,Subcutaneous,2-8°C,Current,14,0,0.026100,0.026100,0.029900,Yes,0.000000,0.000000,0.000000,,2-8°C,,1,,0
57,☆ DT-V-10-S3,DT - vial - 10 doses - [S3],77,Diphtheria-Tetanus,DT,National Center of Infectious and Parasitic Diseases,Diftet,Liquid: ready to use,Vial,10,36,thiomersal,Intramuscular,2-8°C,Current,14,28,0.037800,0.037800,0.092900,0,0.000000,0.000000,0.000000,,NA,,3,$1.19,0.119
59,☆ DT-V-20-S3,DT - vial - 20 doses - [S3],78,Diphtheria-Tetanus,DT,National Center of Infectious and Parasitic Diseases,Diftet,Liquid: ready to use,Vial,20,36,thiomersal,Intramuscular,2-8°C,Current: No Routine Production,14,28,0.037800,0.037800,0.037800,0,0.000000,0.000000,0.000000,,NA,,3,$2.19,0.109
56,☆ DT-V-10-S3,DT - vial - 10 doses - [S3],7,Diphtheria-Tetanus,DT,PT Bio Farma (Persero),Adsorbed DT Vaccine,Liquid: ready to use,Vial,10,36,thiomersal,Intramuscular,2-8°C,Current,30,28,0.023800,0.023800,0.094700,0,0.000000,0.000000,0.000000,Yes,NA,Yes,3,$1.19,0.119
55,☆ DT-A-1-S3,DT - ampoule - 1 dose - [S3],118,Diphtheria-Tetanus,DT,Serum Institute of India Pvt. Ltd.,Diphtheria and Tetanus Vaccine Adsorbed (Paediatric),Liquid: ready to use,Ampoule,1,36,thiomersal,Intramuscular,2-8°C,Current,none,NA,0.012180,0.012180,0.009840,0,0.000000,0.000000,0.000000,,NA,,3,#N/A,#N/A
58,☆ DT-V-10-S3,DT - vial - 10 doses - [S3],119,Diphtheria-Tetanus,DT,Serum Institute of India Pvt. Ltd.,Diphtheria and Tetanus Vaccine Adsorbed (Pediatric),Liquid: ready to use,Vial,10,36,thiomersal,Intramuscular,2-8°C,Current,30,28,0.021100,0.021100,0.098400,0,0.000000,0.000000,0.000000,Yes,NA,Yes,3,$1.19,0.119
60,☆ DT-V-20-S3,DT - vial - 20 doses - [S3],120,Diphtheria-Tetanus,DT,Serum Institute of India Pvt. Ltd.,Diphtheria and Tetanus Vaccine Adsorbed (Pediatric),Liquid: ready to use,Vial,20,36,thiomersal,Intramuscular,2-8°C,Current,30,28,0.042400,0.042400,0.196800,0,0.000000,0.000000,0.000000,,NA,,3,$2.19,0.109
61,☆ DTaP-V-1-S3,DTaP (acellular) - vial - 1 dose - [S3],266,Diphtheria-Tetanus-Pertussis (acellular),DTaP,GlaxoSmithKline Biologicals SA,Boostrix,Liquid: ready to use,Vial,1,36,none,Intramuscular,2-8°C,Current,30,NA,0.009700,0.009700,0.015230,0,0.000000,0.000000,0.000000,,NA,,3,#N/A,#N/A
62,☆ DTaP-V-1-S3,DTaP (acellular) - vial - 1 dose - [S3],315,Diphtheria-Tetanus-Pertussis (acellular),DTaP,Sanofi Pasteur Limited,Adacel,Liquid: ready to use,Vial,1,36,none,Intramuscular,2-8°C,Current,30,NA,0.019500,0.019500,0.128600,0,0.000000,0.000000,0.000000,,NA,,3,#N/A,#N/A
63,☆ DTaP-H-H-I-V-1-S3,DTaP-HepB-Hib-IPV (Inactivated) - vial - 1 dose - [S3],285,Diphtheria-Tetanus-Pertussis (acellular)-Hepatitis B-Haemophilus influenzae type b-Polio (Inactivated),DTaP-HepB-Hib-IPV,Sanofi Pasteur SA,Hexaxim,Liquid: ready to use,Vial,1,36,none,Intramuscular,2-8°C,Current,7,NA,0.011320,0.011320,0.067510,0,0.000000,0.000000,0.000000,,NA,,3,#N/A,#N/A
66,☆ DTwP-V-1-S3,DTwP (whole cell) - vial - 1 dose - [S3],277,Diphtheria-Tetanus-Pertussis (whole cell),DTwP,Biological E. Limited,None used on labelling for supply through UN agencies. Also marketed with labelled commercial name TRIPVAC,Liquid: ready to use,Vial,1,24,thiomersal,Intramuscular,2-8°C,Current,14,NA,0.014680,0.014680,0.093080,0,0.000000,0.000000,0.000000,,NA,,3,#N/A,#N/A
70,☆ DTwP-V-10-S3,DTwP (whole cell) - vial - 10 doses - [S3],278,Diphtheria-Tetanus-Pertussis (whole cell),DTwP,Biological E. Limited,None used on labelling for supply through UN agencies. Also marketed with labelled commercial name TRIPVAC,Liquid: ready to use,Vial,10,24,thiomersal,Intramuscular,2-8°C,Current,14,28,0.017800,0.017800,0.089400,0,0.000000,0.000000,0.000000,,NA,,3,$1.97,0.197
67,☆ DTwP-V-10-S3,DTwP (whole cell) - vial - 10 doses - [S3],8,Diphtheria-Tetanus-Pertussis (whole cell),DTwP,PT Bio Farma (Persero),DTP Vaccine,Liquid: ready to use,Vial,10,24,thiomersal,Intramuscular,2-8°C,Current,14,28,0.023800,0.023800,0.095600,0,0.000000,0.000000,0.000000,Yes,NA,Yes,3,$1.97,0.197
64,☆ DTwP-A-1-S3,DTwP (whole cell) - ampoule - 1 dose - [S3],93,Diphtheria-Tetanus-Pertussis (whole cell),DTwP,Sanofi Pasteur SA,DT COQ,Liquid: ready to use,Ampoule,1,36,thiomersal,Intramuscular,2-8°C,Current: No Routine Production,none,NA,0.026100,0.026100,0.026100,0,0.000000,0.000000,0.000000,,NA,,3,#N/A,#N/A
